model,LS,MAE,date,horizon,place,forecast_date
resample_80_last_10,-0.1054,5.0000,2020-06-06,6.0000,NM,2020-05-31
resample_80_last_10,-0.1054,4.0000,2020-06-06,6.0000,CO,2020-05-31
resample_80_last_10,-0.1054,9.0000,2020-06-06,6.0000,AL,2020-05-31
resample_80_last_10,-0.1247,37.0000,2020-06-07,7.0000,FL,2020-05-31
resample_80_last_10,-0.1247,8.0000,2020-06-07,7.0000,TX,2020-05-31
resample_80_last_10,-0.1247,12.0000,2020-06-07,7.0000,MN,2020-05-31
resample_80_last_10,-0.1247,16.0000,2020-06-07,7.0000,NJ,2020-05-31
resample_80_last_10,-0.1247,39.0000,2020-06-07,7.0000,RI,2020-05-31
resample_80_last_10,-0.1247,0.0000,2020-06-07,7.0000,MT,2020-05-31
resample_80_last_10,-0.1247,5.0000,2020-06-07,7.0000,WV,2020-05-31
resample_80_last_10,-0.1247,3.0000,2020-06-07,7.0000,DE,2020-05-31
resample_80_last_10,-0.1247,4.0000,2020-06-07,7.0000,NE,2020-05-31
resample_80_last_10,-0.1247,59.0000,2020-06-07,7.0000,GA,2020-05-31
resample_80_last_10,-0.1247,5.0000,2020-06-07,7.0000,SD,2020-05-31
resample_80_last_10,-0.1247,38.0000,2020-06-07,7.0000,PA,2020-05-31
resample_80_last_10,-0.1247,31.0000,2020-06-07,7.0000,WI,2020-05-31
resample_80_last_10,-0.1247,25.0000,2020-06-07,7.0000,MS,2020-05-31
resample_80_last_10,-0.1247,51.0000,2020-06-07,7.0000,CT,2020-05-31
resample_80_last_10,-0.1247,1.0000,2020-06-07,7.0000,WY,2020-05-31
resample_80_last_10,-0.1247,9.0000,2020-06-07,7.0000,UT,2020-05-31
resample_80_last_10,-0.1247,10.0000,2020-06-07,7.0000,CA,2020-05-31
resample_80_last_10,-0.1247,122.5000,2020-06-07,7.0000,MA,2020-05-31
resample_80_last_10,-0.1247,9.0000,2020-06-07,7.0000,NH,2020-05-31
resample_80_last_10,-0.1247,4.0000,2020-06-07,7.0000,OR,2020-05-31
resample_80_last_10,-0.1247,13.0000,2020-06-07,7.0000,SC,2020-05-31
resample_80_last_10,-0.1247,12.0000,2020-06-07,7.0000,KS,2020-05-31
